rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,R_acpt,ceta_acpt,k_t_d,e_d_co,k_t_ne,e_ne_co,eps_v,alpha_p_co,alpha_m_co,alpha_delta_co,Qdiag
1478608952662712891,,107,,1478608952,661906102,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608952702766527,,108,,1478608952,701765443,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608952739935379,,109,,1478608952,738524757,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608952818235278,,110,,1478608952,816909633,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608952962577691,,111,,1478608952,961727463,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608952999598501,,112,,1478608952,998667995,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608953037580680,,113,,1478608953,36636836,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608953436785368,,114,,1478608953,436351454,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608953859547254,,115,,1478608953,858364190,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608953892909654,,116,,1478608953,892098177,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
