rosbagTimestamp,latitude,longitude,altitude
1478608949247252939,47.3658409,8.8075316,635.685
1478608954268759401,47.3658409,8.8075316,635.685
1478608960846023370,47.3658409,8.8075316,635.685
1478608967639758134,47.3658409,8.8075316,635.685
1478608974326892080,47.3658409,8.8075316,635.685
1478608981118084958,47.3658409,8.8075316,635.685
1478608988161156937,47.3658409,8.8075316,635.685
1478608994954105637,47.3658409,8.8075316,635.685
1478609001862614490,47.3658409,8.8075316,635.685
1478609008749236426,47.3658409,8.8075316,635.685
1478609015545533400,47.3658409,8.8075316,635.685
1478609022601686190,47.3658409,8.8075316,635.685
1478609029727466202,47.3658409,8.8075316,635.685
1478609036673063930,47.3658409,8.8075316,635.685
1478609043384930013,47.3658409,8.8075316,635.685
1478609049994664690,47.3658409,8.8075316,635.685
1478609056760489310,47.3658409,8.8075316,635.685
1478609063806607803,47.3658409,8.8075316,635.685
1478609070412472814,47.3658409,8.8075316,635.685
1478609076925996832,47.3658335,8.8075365,637.145
1478609083863122953,47.3658335,8.8075365,637.145
1478609090772356330,47.3658335,8.8075365,637.145
1478609097694361484,47.3658335,8.8075365,637.145
1478609104701848176,47.3658335,8.8075365,637.145
1478609111756238444,47.3658335,8.8075365,637.145
1478609118715312472,47.3658335,8.8075365,637.145
1478609125797028726,47.3658335,8.8075365,637.145
1478609132134484286,47.3658335,8.8075365,637.145
1478609138489636998,47.3658335,8.8075365,637.145
1478609144938668854,47.3658335,8.8075365,637.145
1478609151597403365,47.3658335,8.8075365,637.145
1478609157651219140,47.3658335,8.8075365,637.145
1478609164754944204,47.3658335,8.8075365,637.145
1478609170937234664,47.3658335,8.8075365,637.145
1478609177436498820,47.3658335,8.8075365,637.145
1478609183996249880,47.3658335,8.8075365,637.145
1478609190535868682,47.3658335,8.8075365,637.145
1478609196983323184,47.3658335,8.8075365,637.145
1478609203393680025,47.3658335,8.8075365,637.145
1478609209806562188,47.3658335,8.8075365,637.145
1478609216145034194,47.3658335,8.8075365,637.145
1478609222409293700,47.3658335,8.8075365,637.145
1478609228421983641,47.3658335,8.8075365,637.145
1478609234947996989,47.3658335,8.8075365,637.145
1478609241161478026,47.3658335,8.8075365,637.145
1478609247422414009,47.3658335,8.8075365,637.145
1478609253737130523,47.3658335,8.8075365,637.145
1478609259986765466,47.3658335,8.8075365,637.145
1478609266391823555,47.3658335,8.8075365,637.145
1478609272488296566,47.3658335,8.8075365,637.145
1478609278539076290,47.3658335,8.8075365,637.145
1478609284810774319,47.3658335,8.8075365,637.145
1478609290742909574,47.3658335,8.8075365,637.145
1478609296631331171,47.3658335,8.8075365,637.145
